"Finance Cost","Custo do Parcelamento"
"Discount for payment at sight","Descuento para pagar en un pago"
"Set up installments and interest","Definir cuotas e intereses"
"Order not found.","Pedido no localizado."
"Mercado Pago, refund notification","Mercado Pago, notificación de reembolso"
"The order %1, was refunded directly on Mercado Pago, you need to create an offline refund.","El pedido %1, fue reembolsado directamente en Mercado Pago, necesitas crear un reembolso offline."
Unavailable.,No disponible.
"You should not be here...","No tienes que estar aquí..."
"Order Canceled.","Pedido cancelado."
"Transaction has been declined. Please try again later.","La operación fue rechazada. Por favor inténtalo de nuevo más tarde."
"%1 minutes","%1 minutos"
"1 hour","1 hora"
"12 hours","12 horas"
"1 day","1 día"
"Payment for order %1 in store %2","Pago del pedido %1 en la tienda %2"
Tax,Impuesto
"Awaiting payment of the Card.","Esperando pago via tarjeta."
"Awaiting payment.","Esperando pago."
"Awaiting payment through Checkout Pro.","Esperando pago a través del Checkout Pro."
"Awaiting payment through Pix.","Esperando pago via Pix."
"The gateway declined the transaction.","El gateway rechazó la operación."
"Please select a category","Por favor, selecciona una categoría"
description,descripción
Production,Producción
"Sandbox - Testing environment","Ecositema de testeo"
"Yes, Processed Order Synchronous","Sí, procesar solicitudes sincrónicamente"
"No, Processed Order Asynchronous","No, procesar solicitudes asíncronas"
"1 installment","1 cuota"
"2 installments","2 cuotas"
"3 installments","3 cuotas"
"4 installments","4 cuotas"
"5 installments","5 cuotas"
"6 installments","6 cuotas"
"7 installments","7 cuotas"
"8 installments","8 cuotas"
"9 installments","9 cuotas"
"10 installments","10 cuotas"
"11 installments","11 cuotas"
"12 installments","12 cuotas"
"13 installments","13 cuotas"
"14 installments","14 cuotas"
"15 installments","15 cuotas"
"16 installments","16 cuotas"
"17 installments","17 cuotas"
"18 installments","18 cuotas"
"19 installments","19 cuotas"
"20 installments","20 cuotas"
"21 installments","21 cuotas"
"22 installments","22 cuotas"
"23 installments","23 cuotas"
"24 installments","24 cuotas"
"25 installments","25 cuotas"
"26 installments","26 cuotas"
"27 installments","27 cuotas"
"28 installments","28 cuotas"
"29 installments","29 cuotas"
"30 installments","30 cuotas"
"31 installments","31 cuotas"
"32 installments","32 cuotas"
"33 installments","33 cuotas"
"34 installments","34 cuotas"
"35 installments","35 cuotas"
"36 installments","36 cuotas"
"Do Not Delete","No Finalizar"
name,nombre
"Authorization for future capture","Autorización para la captura futura"
"Authorization for immediate capture","Autorización y captura inmediata"
Configure,Configure
Close,Cerrar
"15 minutes","15 minutos"
"30 minutes - recommended","30 minutos - recomendado"
"24 hours","24 horas"
"Modal window in store environment","Ventana modal en el ecosistema de la tienda"
"Redirection to Mercado Pago environment","Redireccionamiento al ecosistema de Mercado Pago"
"Cart %1 doesn't contain products","El carrito %1 no tiene productos"
"There was an error when creating the payment. Please try again later.","Error al crear el pago. Inténtalo de nuevo más tarde."
"It was not possible to save on the installment cost amount","No fue posible economizar el monto del costo de las cuotas"
"Default Store %1 - Set Data for store id %2 Web Site Id %3","Store ID: %1 No habilitado para el uso en producción"
Finished,Finalizado
"Store ID: %1 Not allowed for production use","Datos del comerciante obtenidos con éxito."
"There was an error saving: %1","Error al guardar: %1"
"Error fetching information: %1","Error al obtener información %1"
"Please check store id %1 credentials","Por favor, verifica las credenciales de la tienda id %1"
"Order %1 - Increment Id %2 - state %3","Order %1 - Increment ID %2 - Status %3"
"Card - MercadoPago","Card - MercadoPago"
"Checkout Pro - MercadoPago","Checkout Pro - MercadoPago"
"Pix - MercadoPago","Pix - MercadoPago"
"Pse - MercadoPago","Pse - MercadoPago"
"Webpay - MercadoPago","Webpay - MercadoPago"
"Document Type","Tipo de documento"
"Document number","Número del Documento"
Instruction,Instrucciones
"Due date","Vencimiento"
"In order to comply with PCI regulations, the administrator cannot capture this payment method.","Debido al cumplimiento de la normativa PCI, no es posible capturar este método de pago por el administrador."
"Payer Entity Type","Tipo de la institución de pago"
"Financial Institution","Institución financiera"
"Your access credential for store %1 is valid but you don\'t have production use permission. Request approval before use by <a href="%2">click here</a>..","Tu credencial de acceso a la tienda %1 es válida, pero no tienes permiso de uso de producción. Solicita aprobación antes de usar <a href=\'%2\'>clic aquí</a>."
"Your payment will be valid until","Tu pago es válido hasta"
"Link for payment","Link para pago"
"Details for payment","Detalles para el pago"
"Verification Code","Código de verificación"
"Line Code is","El line code es"
"Issued on behalf of","Emitido en nombre de"
"Mercado Pago partnership code","Código de convenio con Mercado Pago"
"To pay, please scan the QR code","Para pagar, escanea el código QR"
"or, if you prefer, copy-paste the code","o, si prefieres, copia y pega el código"
"Further instructions","Leer más instrucciones"
"The Line Code is","El line code es"
Copy,Copiar
Copied,Copiado
"Enter the ID Document you used in the purchase","Ingresa el Documento de identificación usado en la compra"
Pix,Pix
Waiting...,Esperando...
"Place Order","Realizar Pedido"
"Payer First Name","Nombre del Pagador"
"Payer Last Name","Apellido del Pagador"
"Card details","Datos de la tarjeta"
"Card number","Número de la tarjeta"
"CVV - Card Verification Value","CVV - Código de seguridad"
"What is this?","¿Qué es eso?"
"Expiration month","Mes de vencimiento"
"Expiration year","Año de vencimiento"
"Card holder full name","Nombre impreso en la tarjeta"
"Number of installments","Número de cuotas"
"Save for later use.","Guardar para uso futuro."
"A 3-digit number in italics on the back of your card.","Un número de 3 dígitos en itálica en el dorso de tu tarjeta."
"Entity Type","Tipo de entidad"
"Please provide a valid document identification.","No fue posible realizar el pago. Por favor, presenta un documento de identidad válido."
"Unable to make payment, check card details.","No fue posible realizar el pago. Por favor, verifica los datos de la tarjeta."
"Payment Services","Servicio de pago"
"Permission to set up the module","Permiso para configurar el módulo"
"<div class='mercadopago-payment-logo'></div><div class='mercadopago-payment-byline'><p><b>Mercado Pago</b></p><p>It offers payments with credit and debit cards, as well as offline means - in addition to exclusive advantages for those who pay logged into their Mercado Pago account, such as credits, discounts and other special conditions.</p></div>","<div class='mercadopago-payment-logo'></div><div class='mercadopago-payment-byline'><p><b>Mercado Pago</b></p><p>Oferece pagos con tarjetas de crédito y débito, además de los medios offline y ventajas exclusivas para quien paga después de iniciar sesión en la cuenta de Mercado Pago, como créditos, descuentos y otras condiciones especiales.</p></div>"
"Technical support available <a href='https://github.com/mercadopago/adb-payment/issues/new/choose'>here</a>.","Soporte técnico disponible <a href='https://github.com/mercadopago/adb-payment/issues/new/choose'>aquí</a>."
"Basic Settings","Configuraciones básicas"
"Mercado Pago integration","Integración con Mercado Pago"
"<p>In order to sell or test a store, you must first enter your test and production credentials.</p><p>Using the account of the collaborator with access to Mercado Pago Seller Account, search the credentials according to the account: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>","<p>Para vender o testear la tienda , tienes que ingresar las credenciales de test y de producción.</p><p>Con el colaborador con acceso a la Cuenta del Vendedor de Mercado Pago, busca las credenciales según la cuenta: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>"
"Checkout operation mode","Modo de Operación del Checkout"
"When operational mode is set as Sandbox, your sales will not be communicated to financial institutions.","Cuando el modo operacional esté definido como Sandbox, tus ventas no serán comunicadas a las instituciones financieras."
"Public Key - production","Public Key - producción"
"Access Token - production","Access Token - producción"
"Public Key - Sandbox","Public Key - Sandbox"
"Access Token - Sandbox","Access Token - Sandbox"
"Developers support","Soporte para desarrolladores"
Debug,Debug
"We record your store's communications with Mercado Pago in orer to offer a better support. Please note it is not recommended to use the debug mode when your store is in production mode.","Registramos las comunicaciones de tu tienda con Mercado Pago para ofrecer un soporte aún mejor. Atención: no se recomienda usar el modo debug con la tienda en modo de producción."
